,GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,geometry
0,Id,Id2,Geography,Estimate; Total:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",
10,1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",222,0,0,0,21,0,0,0,0,0,21,0,72,9,19,0,80,"POLYGON ((-73.99942 40.696361, -73.998847 40.69714099999999, -73.99837599999999 40.698048, -73.99803199999999 40.69876199999999, -73.9975 40.699653, -73.99600099999999 40.699007, -73.997078 40.696311, -73.997699 40.694983, -73.998257 40.695898, -73.999461 40.69628, -73.99942 40.696361))"
11,1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",793,45,36,40,16,13,12,41,0,9,50,104,70,125,52,26,154,"POLYGON ((-73.994292 40.698535, -73.99271 40.698097, -73.99302 40.69746, -73.993785 40.69587, -73.99532599999999 40.696378, -73.994292 40.698535))"
12,1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York",511,38,44,25,24,10,10,0,0,0,0,41,72,42,35,99,71,"POLYGON ((-73.995547 40.695892, -73.99532599999999 40.696378, -73.993785 40.69587, -73.993978 40.695463, -73.994298 40.694792, -73.99585499999999 40.695221, -73.995547 40.695892))"
13,1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York",477,17,27,0,0,0,34,0,0,0,53,15,63,0,59,38,171,"POLYGON ((-73.996197 40.694507, -73.99585499999999 40.695221, -73.994298 40.694792, -73.99508 40.693147, -73.99671599999999 40.693439, -73.996197 40.694507))"
14,1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York",795,9,18,19,6,7,38,26,10,75,27,46,217,92,70,32,103,"POLYGON ((-73.993785 40.69587, -73.99302 40.69746, -73.991365 40.69701, -73.991298 40.696579, -73.990746 40.695034, -73.990663 40.694561, -73.99210000000001 40.694947, -73.993978 40.695463, -73.993785 40.69587))"
15,1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",644,19,16,56,72,8,13,9,7,8,18,29,56,94,36,90,113,"POLYGON ((-73.994298 40.694792, -73.993978 40.695463, -73.99210000000001 40.694947, -73.992424 40.694276, -73.99310299999999 40.692846, -73.99508 40.693147, -73.994298 40.694792))"
16,1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",763,26,0,9,22,20,11,7,0,9,0,90,40,134,61,73,261,"POLYGON ((-74.001317 40.693208, -74.001277 40.693298, -74.00095899999999 40.694069, -74.00070099999999 40.694388, -74.00002499999999 40.694097, -73.997609 40.693601, -73.998339 40.692087, -73.995914 40.691416, -73.996233 40.690758, -73.997793 40.691188, -74.000315 40.691875, -74.001744 40.692407, -74.001317 40.693208))"
17,1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",376,0,8,10,19,39,0,13,0,8,10,27,20,33,39,51,99,"POLYGON ((-73.997609 40.693601, -73.99671599999999 40.693439, -73.99508 40.693147, -73.995914 40.691416, -73.998339 40.692087, -73.997609 40.693601))"
18,1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",761,40,0,0,9,18,31,0,44,0,35,14,65,63,92,71,279,"POLYGON ((-73.995914 40.691416, -73.99508 40.693147, -73.99310299999999 40.692846, -73.993736 40.69153499999999, -73.994361 40.690239, -73.996233 40.690758, -73.995914 40.691416))"
19,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",1116,74,17,0,0,25,15,11,26,57,47,138,110,145,48,96,307,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))"
